ID,Time,Temperature,Precipitation,WindVelocity,WindDirection
93,2019-09-18 5:00,15.6,,0.6,360
93,2019-09-18 6:00,14.8,,0.6,140
93,2019-09-18 7:00,14.6,,0.7,360
93,2019-09-18 8:00,17.1,,0.3,0
93,2019-09-18 9:00,19.3,,0.7,160
93,2019-09-18 10:00,21.2,,1.7,180
93,2019-09-18 11:00,23.1,,1.6,180
93,2019-09-18 12:00,24.8,,2.1,200
93,2019-09-18 13:00,26.1,,2.1,230
93,2019-09-18 14:00,26.9,,2.4,360
93,2019-09-18 15:00,26.7,,2.6,230
93,2019-09-18 16:00,26.6,,2.8,250
93,2019-09-18 17:00,26.1,,2,250
93,2019-09-18 18:00,24,,3.2,340
93,2019-09-18 19:00,21.4,,1.3,90
93,2019-09-18 20:00,18.1,,0.6,180
93,2019-09-18 21:00,16.8,,0.5,110
93,2019-09-18 22:00,15.7,,0.5,320
93,2019-09-18 23:00,14.4,,0.4,0
93,2019-09-19 0:00,14,,0.6,360
93,2019-09-19 1:00,13,,0.3,0
93,2019-09-19 2:00,12.4,,0.6,340
93,2019-09-19 3:00,11.8,,0.5,20
93,2019-09-19 4:00,11.8,,0.7,320
93,2019-09-19 5:00,10.9,,0.5,180
93,2019-09-19 6:00,11.1,,0.2,0
93,2019-09-19 7:00,11.5,,0.2,0
93,2019-09-19 8:00,13.7,,0.8,110
93,2019-09-19 9:00,16.4,,0.6,200
93,2019-09-19 10:00,18.7,,1,200
93,2019-09-19 11:00,20.9,,1.5,160
93,2019-09-19 12:00,22,,1.8,230
93,2019-09-19 13:00,23.4,,2.2,180
93,2019-09-19 14:00,23.7,,1.1,140
93,2019-09-19 15:00,23.9,,1.2,290
93,2019-09-19 16:00,24.1,,1.7,320
93,2019-09-19 17:00,22.8,,2.9,340
93,2019-09-19 18:00,21.2,,1,50
93,2019-09-19 19:00,19.4,,1.1,70
93,2019-09-19 20:00,17.9,,0.5,360
93,2019-09-19 21:00,15.4,,0.7,180
93,2019-09-19 22:00,14.2,,0.7,90
93,2019-09-19 23:00,13.9,,0.5,50
93,2019-09-20 0:00,13.7,,0.9,340
93,2019-09-20 1:00,13.1,,0.9,340
93,2019-09-20 2:00,13.1,,0.6,360
93,2019-09-20 3:00,13.3,,0.4,0
93,2019-09-20 4:00,13.3,,0.5,290
93,2019-09-20 5:00,13.3,,0.6,50
93,2019-09-20 6:00,13.3,,0.1,0
93,2019-09-20 7:00,13.2,,0.8,20
93,2019-09-20 8:00,14.3,,0.7,180
93,2019-09-20 9:00,15.8,,0.1,0
93,2019-09-20 10:00,17.2,,0.7,270
93,2019-09-20 11:00,19,,1.3,230
93,2019-09-20 12:00,20.5,,1,320
